category,title,url,chars,lines,code_blocks,tables,has_code,has_tables,scraped_at,doc_id,content_preview
AI Factory,Дообучение готовой модели из Huggingface,https://cloud.ru/docs/tutorials-evolution/list/topics/ml-finetuning__finetune-example?source-platform=Evolution,2500,93,0,0,False,False,2025-12-16 21:40:12.832605,doc_0000,"Дообучение готовой модели из Huggingface
С помощью этого руководства вы запустите процесс дообучения модели
mistralai/Ministral-8B-Instruct-2410
Вы будете использовать следующие сервисы:
Secret Manage..."
AI Factory,Подключение корпоративной AI чат-платформы LibreChat к Foundation Models,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-librechat?source-platform=Evolution,8107,233,22,0,True,False,2025-12-16 21:40:15.656988,doc_0001,"Подключение корпоративной AI чат-платформы LibreChat к Foundation Models
С помощью этого руководства вы развернете чат-платформу LibreChat на бесплатной виртуальной машине в облаке Cloud.ru Evolution...."
AI Factory,Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__langchain-tg-bot?source-platform=Evolution,8309,245,10,0,True,False,2025-12-16 21:40:18.228299,doc_0002,"Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models
С помощью этого руководства вы познакомитесь с проектом
evo-foundation-models-tg-bot-lab
— Telegram-ботом, ко..."
AI Factory,Создание приложения с Aider и Foundation Models,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__assistent-aider?source-platform=Evolution,3647,84,6,0,True,False,2025-12-16 21:40:20.649209,doc_0003,"Создание приложения с Aider и Foundation Models
С помощью этого руководства вы интегрируете сервис Foundation Models с приложением Aider, чтобы превратить Терминал в ИИ-ассистента.
Вы создадите полноц..."
Notebooks,Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__training-tensorboard?source-platform=Evolution,10836,245,12,0,True,False,2025-12-16 21:40:23.719047,doc_0004,"Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks
С помощью этого руководства вы научитесь использовать TensorBoard с PyTorch Profiler для выявления узких мест производительности моде..."
Notebooks,Генерация видео с моделью Kandinsky 5.0 Video Lite в ComfyUI на основе Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__comfyui-kandinsky?source-platform=Evolution,4643,112,3,0,True,False,2025-12-16 21:40:25.980271,doc_0005,"Генерация видео с моделью Kandinsky 5.0 Video Lite в ComfyUI на основе Notebooks
С помощью этого руководства вы настроите среду для генерации видео в ComfyUI с использованием модели Kandinsky 5.0 Vide..."
Notebooks,Генерация изображений с ComfyUI на основе Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__images-comfyui?source-platform=Evolution,3207,86,5,0,True,False,2025-12-16 21:40:28.183933,doc_0006,"Генерация изображений с ComfyUI на основе Notebooks
С помощью этого руководства вы научитесь настраивать среду для генерации изображений с помощью ComfyUI, загружать модели с платформы Hugging Face и ..."
Notebooks,Инференс изображений на предобученой модели на основе Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-pretrain?source-platform=Evolution,3822,61,9,0,True,False,2025-12-16 21:40:30.640800,doc_0007,"Инференс изображений на предобученой модели на основе Notebooks
С помощью этого руководства вы проведете классификацию изображений с использованием предобученной модели ResNet18.
Вы создадите среду дл..."
Notebooks,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks",https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-cnn?source-platform=Evolution,5501,84,15,0,True,False,2025-12-16 21:40:33.727754,doc_0008,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks
С помощью этого руководства вы выполните инференс на собственных изображениях с использованием..."
Notebooks,Создание Telegram-бота для поиска информации из Jira на основе Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__low-code-rag?source-platform=Evolution,6193,178,2,0,True,False,2025-12-16 21:40:36.041232,doc_0009,"Создание Telegram-бота для поиска информации из Jira на основе Notebooks
С помощью этого руководства вы настроите парсинг Jira, создадите базу знаний в сервисе
Managed RAG
и разработаете Telegram-бота..."
